Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,231,Ethiopia,ETH,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,382404,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,234,Faeroe Isds,FRO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,110842,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,238,Falkland Isds (Malvinas),FLK,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2353,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,258,French Polynesia,PYF,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,11161,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,262,Djibouti,DJI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,10772,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,266,Gabon,GAB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,7492,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,268,Georgia,GEO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3318942,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,270,Gambia,GMB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,481,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,275,State of Palestine,PSE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,104127,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,288,Ghana,GHA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,95498595,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,292,Gibraltar,GIB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,97814,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,304,Greenland,GRL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,107,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,320,Guatemala,GTM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,45795,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,324,Guinea,GIN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,436793,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,328,Guyana,GUY,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,124418,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,332,Haiti,HTI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2516,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,334,Heard Island and McDonald Islands,HMD,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,683,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,336,Holy See (Vatican City State),VAT,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2353,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,340,Honduras,HND,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1106291,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,344,"China, Hong Kong SAR",HKG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,31787309,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,352,Iceland,ISL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1279538146,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,360,Indonesia,IDN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,20058154,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,364,Iran,IRN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1756429,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,368,Iraq,IRQ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,424132,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,376,Israel,ISR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,87743846,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,384,Côte d'Ivoire,CIV,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,142224,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,392,Japan,JPN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,99535986,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,398,Kazakhstan,KAZ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,233982178,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,400,Jordan,JOR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,12546008,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,404,Kenya,KEN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,580736,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,410,Rep. of Korea,KOR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,320438559,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,414,Kuwait,KWT,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1965469,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,417,Kyrgyzstan,KGZ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,122859,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,418,Lao People's Dem. Rep.,LAO,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1398,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,422,Lebanon,LBN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,9240902,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,434,Libya,LBY,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2121362,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,446,"China, Macao SAR",MAC,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,126192,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,450,Madagascar,MDG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,138447,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,454,Malawi,MWI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,123,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,458,Malaysia,MYS,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,185891774,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,466,Mali,MLI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,34207,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,480,Mauritius,MUS,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3939005,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,484,Mexico,MEX,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,43726124,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,490,"Other Asia, nes",,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,124618942,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,496,Mongolia,MNG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,7072,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,498,Rep. of Moldova,MDA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2405012,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,499,Montenegro,MNE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,64840889,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,504,Morocco,MAR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,72348348,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,508,Mozambique,MOZ,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1092561639,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,512,Oman,OMN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,53287865,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,524,Nepal,NPL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1849,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,531,Curaçao,CUW,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,621510,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,533,Aruba,ABW,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,461335,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,534,Saint Maarten,SXM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,54634,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,535,Bonaire,BES,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,33352,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,540,New Caledonia,NCL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,4153,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,554,New Zealand,NZL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,45954090,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,562,Niger,NER,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3566,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,566,Nigeria,NGA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,9170588,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,577,"Other Africa, nes",,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,15788,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,579,Norway,NOR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3648692563,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,581,United States Minor Outlying Islands,UMI,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,975,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,584,Marshall Isds,MHL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2294,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,586,Pakistan,PAK,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,3024486,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,591,Panama,PAN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,636608,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,598,Papua New Guinea,PNG,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1704171,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,600,Paraguay,PRY,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,411720,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,604,Peru,PER,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,936996,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,608,Philippines,PHL,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,5684918,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,634,Qatar,QAT,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,28969815,,,4
